GM에드온[3.3.5a 아제로스코어] v2.8 GM 커맨드 재검증 목록

사용자 제공 command SQL: 740개
애드온 command 버튼: 188개
명령명 미매칭: 0개
보안 레벨 분포: Lv0=8, Lv1=27, Lv2=111, Lv3=39, Lv4=3

형식: [카테고리] 버튼명 | 실행문 | SQL 매칭명 | Security | 공식 도움말
[티켓] 길드 초대 | .guild invite {args} | guild invite | 2 | Syntax: .guild invite [$CharacterName] "$GuildName" Add player $CharacterName (or selected) into a guild $GuildName. Guild name must in quotes.
[티켓] 길드 탈퇴/추방 | .guild uninvite | guild uninvite | 2 | Syntax: .guild uninvite [$CharacterName] Remove player $CharacterName (or selected) from a guild.
[티켓] 길드 삭제 | .guild delete {args} | guild delete | 2 | Syntax: .guild delete "$GuildName" Delete guild $GuildName. Guild name must in quotes.
[기타] 오라 전체 제거 | .unaura all | unaura | 2 | Syntax: .unaura #spellid Remove aura due to spell #spellid from the selected Unit.
[기타] 주문 시전 | .cast {args} | cast | 2 | Syntax: .cast #spellid [triggered] Cast #spellid to selected target. If no target selected cast to self. If 'triggered' or part provided then spell cast with triggered flag.
[기타] 자기 자신에게 시전 | .cast self {args} | cast self | 2 | Syntax: .cast self #spellid [triggered] Cast #spellid by target at target itself. If 'triggered' or part provided then spell cast with triggered flag.
[기타] 펫 생성 | .pet create | pet create | 2 | Syntax: .pet create Creates a pet of the selected creature.
[기타] 펫 삭제 | .pet delete | pet delete | 3 | Syntax: .pet delete $playerNameOrGUID #petNumber Deletes the pet with the given pet number belonging to the specified player.
[기타] 전문기술 전체 습득 | .learn all crafts | learn all crafts | 2 | Syntax: .learn crafts Learn all professions and recipes.
[기타] 모든 언어 습득 | .learn all lang | learn all lang | 2 | Syntax: .learn all lang Learn all languages
[기타] GM 주문 습득 | .learn all gm | learn all gm | 2 | Syntax: .learn all gm Learn all default spells for Game Masters.
[기타] 치트 상태 | .cheat status | cheat status | 2 | Syntax: .cheat status Shows the cheats you currently have enabled.
[기타] 맵 탐험 켜기 | .cheat explore on | cheat explore | 2 | Syntax: .cheat explore #flag Reveal or hide all maps for the selected player. If no player is selected, hide or reveal maps to you. Use a #flag of value 1 to reveal, use a #flag value of 0 to hide all maps.
[기타] 맵 탐험 끄기 | .cheat explore off | cheat explore | 2 | Syntax: .cheat explore #flag Reveal or hide all maps for the selected player. If no player is selected, hide or reveal maps to you. Use a #flag of value 1 to reveal, use a #flag value of 0 to hide all maps.
[기타] 물 위 걷기 켜기 | .cheat waterwalk on | cheat waterwalk | 2 | Syntax: .cheat waterwalk on/off Allow to walk on water (self or selected character).
[기타] 물 위 걷기 끄기 | .cheat waterwalk off | cheat waterwalk | 2 | Syntax: .cheat waterwalk on/off Allow to walk on water (self or selected character).
[기타] 파워 치트 켜기 | .cheat power on | cheat power | 2 | Syntax: .cheat power [on/off] Remove spells' cost (mana, energy, rage...).
[기타] 파워 치트 끄기 | .cheat power off | cheat power | 2 | Syntax: .cheat power [on/off] Remove spells' cost (mana, energy, rage...).
[기타] 시전시간 치트 켜기 | .cheat casttime on | cheat casttime | 2 | Syntax: .cheat casttime [on/off] Remove spells' casting time.
[기타] 시전시간 치트 끄기 | .cheat casttime off | cheat casttime | 2 | Syntax: .cheat casttime [on/off] Remove spells' casting time.
